iter	Passed	Remaining
333	862	1720
334	864	1715
335	868	1716
336	870	1712
337	871	1707
338	873	1702
339	874	1697
340	875	1692
341	877	1687
342	878	1682
343	881	1681
344	883	1676
345	885	1673
346	886	1668
347	887	1663
348	889	1659
349	890	1654
350	892	1649
351	893	1644
352	896	1643
353	898	1638
354	899	1634
355	901	1630
356	902	1625
357	903	1620
358	905	1616
359	906	1612
360	908	1607
361	912	1608
362	914	1604
363	916	1600
364	917	1596
365	918	1591
366	920	1587
367	921	1583
368	923	1578
369	927	1579
370	929	1576
371	931	1572
372	932	1567
373	934	1563
374	935	1559
375	937	1555
376	941	1556
377	943	1552
378	945	1548
379	946	1544
380	947	1539
381	949	1535
382	950	1531
383	951	1526
384	953	1522
385	954	1518
386	956	1515
387	958	1511
388	959	1507
389	961	1503
390	962	1499
391	964	1495
392	965	1491
393	967	1487
394	970	1486
395	972	1483
396	974	1479
397	976	1476
398	978	1473
399	980	1470
400	981	1466
401	982	1461
402	985	1460
403	987	1456
404	988	1452
405	990	1448
406	991	1444
407	993	1440
408	994	1436
409	995	1433
410	997	1429
411	1000	1428
412	1002	1425
413	1004	1421
414	1006	1418
415	1007	1414
416	1010	1412
417	1014	1411
418	1016	1409
419	1018	1406
420	1020	1403
421	1022	1400
422	1024	1397
423	1026	1393
424	1030	1394
425	1035	1395
426	1037	1391
427	1038	1388
428	1040	1384
429	1042	1381
430	1047	1382
431	1049	1380
432	1051	1376
433	1052	1373
434	1054	1369
435	1055	1365
436	1057	1361
437	1060	1361
438	1062	1358
439	1064	1354
440	1065	1350
441	1066	1346
442	1068	1343
443	1069	1339
444	1071	1336
445	1072	1332
446	1088	1346
447	1097	1352
448	1099	1349
449	1107	1353
450	1112	1354
451	1114	1350
452	1115	1346
453	1116	1342
454	1117	1339
455	1119	1335
456	1122	1333
457	1124	1330
458	1126	1327
459	1127	1324
460	1129	1320
461	1130	1316
462	1132	1313
463	1133	1309
464	1136	1307
465	1138	1304
466	1142	1303
467	1144	1300
468	1146	1297
469	1148	1294
470	1149	1291
471	1153	1289
472	1157	1289
473	1158	1285
474	1159	1281
475	1161	1278
476	1164	1277
477	1169	1276
478	1171	1274
479	1173	1271
480	1175	1268
481	1177	1264
482	1181	1264
483	1184	1263
484	1188	1262
485	1190	1259
486	1192	1255
487	1193	1252
488	1195	1249
489	1197	1246
490	1201	1245
491	1203	1242
492	1206	1240
493	1208	1237
494	1209	1233
495	1211	1231
496	1216	1231
497	1218	1228
498	1220	1225
499	1222	1222
500	1224	1219
501	1226	1216
502	1229	1214
503	1231	1212
504	1232	1208
505	1234	1204
506	1235	1201
507	1237	1198
508	1239	1195
509	1241	1193
510	1243	1190
511	1245	1186
512	1246	1183
513	1247	1179
514	1249	1176
515	1251	1173
516	1252	1170
517	1254	1166
518	1258	1166
519	1259	1163
520	1261	1159
521	1262	1156
522	1264	1153
523	1265	1149
524	1267	1146
525	1268	1143
526	1272	1141
527	1274	1139
528	1275	1135
529	1277	1132
530	1280	1131
531	1282	1128
532	1295	1134
533	1297	1132
534	1299	1129
535	1305	1129
536	1308	1128
537	1310	1125
538	1311	1121
539	1312	1118
540	1314	1115
541	1320	1115
542	1322	1113
543	1324	1110
544	1326	1107
545	1331	1107
546	1339	1109
547	1340	1106
548	1343	1104
549	1348	1103
550	1353	1102
551	1356	1101
552	1359	1098
553	1361	1095
554	1365	1095
555	1370	1094
556	1371	1090
557	1374	1088
558	1375	1085
559	1385	1088
560	1387	1085
561	1388	1082
562	1390	1078
563	1394	1078
564	1398	1076
565	1400	1073
566	1402	1071
567	1404	1068
568	1410	1068
569	1415	1067
570	1417	1064
571	1419	1062
572	1420	1058
573	1425	1057
574	1428	1055
575	1431	1054
576	1433	1051
577	1435	1048
578	1443	1049
579	1446	1047
580	1448	1044
581	1450	1041
582	1452	1038
583	1459	1039
584	1462	1037
585	1463	1034
586	1465	1030
587	1466	1027
588	1468	1024
589	1470	1021
590	1472	1019
591	1474	1015
592	1475	1012
593	1476	1009
594	1478	1006
595	1479	1003
596	1481	999
597	1484	997
598	1485	994
599	1487	991
600	1489	988
601	1490	985
602	1492	982
603	1493	979
604	1494	975
605	1496	972
606	1497	969
607	1499	966
608	1500	963
609	1502	960
610	1504	957
611	1505	954
612	1507	951
613	1509	948
614	1514	948
615	1517	946
616	1519	942
617	1521	940
618	1537	946
619	1541	945
620	1544	942
621	1547	940
622	1548	937
623	1560	940
624	1562	937
625	1564	934
626	1572	935
627	1576	933
628	1577	930
629	1579	927
630	1580	924
631	1590	926
632	1593	923
633	1595	920
634	1596	917
635	1604	918
636	1607	916
637	1610	913
638	1623	917
639	1626	914
640	1629	912
641	1633	910
642	1637	909
643	1639	906
644	1640	902
645	1649	903
646	1653	901
647	1654	899
648	1659	897
649	1663	895
650	1667	893
651	1669	890
652	1671	888
653	1675	886
654	1676	883
655	1678	880
656	1679	876
657	1681	874
658	1691	875
659	1692	872
660	1694	869
661	1696	866
662	1699	863
663	1703	862
664	1708	860
665	1710	857
666	1711	854
667	1717	853
668	1722	852
669	1723	848
670	1725	846
671	1727	842
672	1728	839
673	1731	837
674	1734	835
675	1735	832
676	1737	828
677	1738	825
678	1740	822
679	1741	819
680	1743	816
681	1745	814
682	1748	811
683	1749	808
684	1751	805
685	1752	802
686	1753	799
687	1755	795
688	1756	792
689	1759	790
690	1761	787
691	1763	784
692	1764	781
693	1766	778
694	1767	775
695	1768	772
696	1770	769
697	1771	766
698	1774	764
699	1777	761
700	1779	759
701	1781	756
702	1783	753
703	1784	750
704	1786	747
705	1791	746
706	1794	743
707	1797	741
708	1799	738
709	1801	735
710	1803	733
711	1806	730
712	1808	727
713	1809	724
714	1811	721
715	1812	719
716	1814	716
717	1815	713
718	1818	710
719	1820	708
720	1822	705
721	1823	702
722	1824	699
723	1826	696
724	1827	693
725	1829	690
726	1831	687
727	1834	685
728	1836	682
729	1837	679
730	1839	676
731	1840	673
732	1841	670
733	1843	668
734	1844	665
735	1847	662
736	1849	660
737	1851	657
738	1852	654
739	1854	651
740	1855	648
741	1856	645
742	1858	642
743	1859	639
744	1863	637
745	1865	635
746	1866	632
747	1867	629
748	1869	626
749	1870	623
750	1871	620
751	1873	617
752	1874	614
753	1876	612
754	1880	610
755	1882	607
756	1883	604
757	1885	602
758	1887	599
759	1888	596
760	1893	594
761	1895	591
762	1896	589
763	1897	586
764	1898	583
765	1899	580
766	1900	577
767	1902	574
768	1903	571
769	1904	568
770	1907	566
771	1910	564
772	1911	561
773	1913	558
774	1914	555
775	1917	553
776	1919	550
777	1924	549
778	1927	546
779	1929	544
780	1932	541
781	1934	539
782	1940	537
783	1943	535
784	1944	532
785	1945	529
786	1947	526
787	1948	524
788	1949	521
789	1954	519
790	1956	517
791	1958	514
792	1960	511
793	1961	508
794	1963	506
795	1969	504
796	1973	502
797	1975	499
798	1976	497
799	1978	494
800	1979	491
801	1987	490
802	1990	488
803	1991	485
804	1994	483
805	1997	480
806	2005	479
807	2007	477
808	2009	474
809	2014	472
810	2020	470
811	2022	468
812	2024	465
813	2036	465
814	2037	462
815	2038	459
816	2040	457
817	2048	455
818	2050	453
819	2053	450
820	2055	448
821	2065	447
822	2067	444
823	2069	442
824	2070	439
825	2076	437
826	2083	435
827	2084	433
828	2086	430
829	2097	429
830	2099	426
831	2100	424
832	2102	421
833	2108	419
834	2113	417
835	2115	414
836	2117	412
837	2120	409
838	2123	407
839	2126	405
840	2128	402
841	2129	399
842	2130	396
843	2132	394
844	2133	391
845	2136	388
846	2138	386
847	2140	383
848	2141	380
849	2142	378
850	2143	375
851	2144	372
852	2145	369
853	2147	367
854	2148	364
855	2151	362
856	2153	359
857	2155	356
858	2156	354
859	2157	351
860	2159	348
861	2160	345
862	2161	343
863	2162	340
864	2163	337
865	2166	335
866	2168	332
867	2169	329
868	2170	327
869	2171	324
870	2172	321
871	2174	319
872	2175	316
873	2176	313
874	2178	311
875	2180	308
876	2183	306
877	2185	303
878	2186	301
879	2188	298
880	2189	295
881	2191	293
882	2192	290
883	2196	288
884	2198	285
885	2199	283
886	2200	280
887	2202	277
888	2203	275
889	2205	272
890	2206	269
891	2207	267
892	2211	264
893	2213	262
894	2215	259
895	2216	257
896	2218	254
897	2220	252
898	2222	249
899	2225	247
900	2227	244
901	2229	242
902	2230	239
903	2232	237
904	2233	234
905	2234	231
906	2236	229
907	2237	226
908	2239	224
909	2241	221
910	2243	219
911	2244	216
912	2245	214
913	2247	211
914	2248	208
915	2249	206
916	2251	203
917	2252	201
918	2256	198
919	2258	196
920	2259	193
921	2261	191
922	2262	188
923	2263	186
924	2265	183
925	2266	181
926	2267	178
927	2272	176
928	2274	173
929	2276	171
930	2278	168
931	2279	166
932	2281	163
933	2282	161
934	2285	158
935	2288	156
936	2290	153
937	2291	151
938	2293	148
939	2294	146
940	2296	143
941	2297	141
942	2304	139
943	2306	136
944	2307	134
945	2309	131
946	2311	129
947	2313	126
948	2317	124
949	2320	122
950	2321	119
951	2322	117
952	2324	114
953	2325	112
954	2326	109
955	2331	107
956	2334	104
957	2337	102
958	2339	100
959	2340	97
960	2342	95
961	2343	92
962	2347	90
963	2349	87
964	2351	85
965	2352	82
966	2353	80
967	2354	77
968	2356	75
969	2357	72
970	2359	70
971	2361	68
972	2364	65
973	2365	63
974	2367	60
975	2368	58
976	2370	55
977	2371	53
978	2373	50
979	2375	48
980	2379	46
981	2380	43
982	2382	41
983	2384	38
984	2386	36
985	2387	33
986	2389	31
987	2392	29
988	2395	26
989	2398	24
990	2400	21
991	2402	19
992	2407	16
993	2409	14
994	2411	12
995	2412	9
996	2414	7
997	2415	4
998	2417	2
999	2418	0
